,lat,lon,flood_height,elevation,precipitation,is_flooding,geometry,index_right,Var
3282,14.625268,121.011917,6,13.9094438553,8.0,1,POINT (121.011917 14.625268),2.0,3.0
3283,14.62397,121.096054,6,14.6167879105,12.0,1,POINT (121.096054 14.62397),2.0,3.0
3284,14.62881,121.057579,6,44.7355155945,9.0,1,POINT (121.057579 14.62881),2.0,3.0
3285,14.687832,121.10836,6,22.934797287,16.0,1,POINT (121.10836 14.687832),2.0,3.0
3286,14.61988,121.111694,6,12.6904830933,14.0,1,POINT (121.111694 14.61988),,
3287,14.679311,121.106926,6,18.4482498169,15.0,1,POINT (121.106926 14.679311),2.0,3.0
3288,14.587194,121.09568,6,8.96324825287,12.0,1,POINT (121.09568 14.587194),2.0,3.0
3289,14.586906,121.096413,6,9.17813682556,12.0,1,POINT (121.096413 14.586906),2.0,3.0
3290,14.589824,121.095337,6,10.3562469482,12.0,1,POINT (121.095337 14.589824),2.0,3.0
3291,14.632441,121.001678,6,17.5346183777,8.0,1,POINT (121.001678 14.632441),2.0,3.0
3292,14.619615,121.118477,6,12.9870710373,14.0,1,POINT (121.118477 14.619615),,
3293,14.65151,121.012573,6,18.1501598358,9.0,1,POINT (121.012573 14.65151),2.0,3.0
3294,14.631465,121.002289,6,17.7765102386,8.0,1,POINT (121.002289 14.631465),2.0,3.0
